date,avg_sentiment,tweet_count,avg_followers,avg_friends,avg_favourites,avg_likes,avg_retweets
2021-02-05,0.13556538688718253,1693,4551.318369757826,1490.158889545186,6133.305965741288,0,0
2021-02-06,0.1434014961832061,3275,5061.651297709924,1044.7435114503817,5840.088854961832,0,0
2021-02-07,0.15845539782106308,3029,3958.4321558270058,1105.731594585672,6107.167051832288,0,0
2021-02-08,0.16485954996456414,5644,8522.145818568391,1040.725194897236,6704.632884479093,0,0
2021-02-09,0.1576435372585097,4348,7330.13753449862,1111.6690432382704,6936.317847286108,0,0
2021-02-10,0.16801291146424518,3524,5535.30221339387,1355.3183881952327,5868.067536889898,0,0
2021-02-13,0.1614439387308534,2285,8050.737417943107,1581.6030634573303,5477.202625820569,0,0
2021-02-14,0.2561754806491885,4005,3950.5031210986267,1263.5083645443196,6488.419975031211,0,0
2021-02-15,0.31503944914335286,4611,3214.179136846671,1280.7312947299936,6620.896551724138,0,0
2021-02-18,0.1685606746560142,2253,6680.087882822902,1215.7616511318242,6615.4531735463825,0,0
2021-02-19,0.14559991144564977,4517,5854.454283816693,907.7099845029887,6040.246402479522,0,0
2021-02-22,0.1328207207207207,3552,6629.8803490990995,1084.7573198198197,5452.602195945946,0,0
2021-02-28,0.1308018393623544,1631,5668.3145309626,1380.7657878602085,5153.177191906806,0,0
2021-03-11,0.08170460829493088,217,5993.73732718894,481.12442396313367,4459.502304147465,0,0
2021-03-12,0.12806378474878857,3921,4235.450140270339,947.1831165519001,4473.250191277735,0,0
2021-04-12,0.15209611581920904,1416,7603.8884180790965,1015.2584745762712,5333.377824858757,0,0
